TABLE_NAME,COLUMN_NAME,DATA_TYPE
salesforce_case,MediaNet_ID__c,string
salesforce_case,Unrelated_to_Technology__c,string
salesforce_case,Case_Reason_Information__c,string
salesforce_case,Case_Refund_Information__c,string
salesforce_case,Merchant_ID__c,string
salesforce_case,Case_Reason__c,string
salesforce_case,Kiosk_ID__c,string
salesforce_case,Moolee_Order_ID__c,string
salesforce_case,Requested_Model__c,string
salesforce_case,Preferred_OEC__c,string
salesforce_case,Current_Rate_Plan__c,string
salesforce_case,Requested_Rate_Plan__c,string
salesforce_case,AON__c,string
salesforce_case,Device_Payment_Status__c,string
salesforce_case,Payment_Behavior__c,string
salesforce_case,ARPU_3_months__c,string
salesforce_case,ARPU_6_months__c,string
salesforce_case,Deposit__c,string
salesforce_case,Performance_Category__c,string
salesforce_case,Customer_Query__c,string
salesforce_case,Roaming_Type__c,string
salesforce_case,Perf_Cat_Type__c,string
salesforce_case,IDD__c,string
salesforce_case,Network__c,string
salesforce_case,A_number__c,string
salesforce_case,B_perfnumber__c,string
salesforce_case,Date_From__c,string
salesforce_case,Date_To__c,string
salesforce_case,Error__c,string
salesforce_case,Campaign_Name__c,string
salesforce_case,Issue_Type__c,string
salesforce_case,Global_Country__c,string
salesforce_case,Pack_Type__c,string
salesforce_case,SIM_Type__c,string
salesforce_case,Service_Request_Type__c,string
salesforce_case,Request_Date__c,string
salesforce_case,Requested_Date__c,string
salesforce_case,Request_Time__c,string
salesforce_case,Reversal_Reason__c,string
salesforce_case,Payment_Method_Reference__c,string
salesforce_case,Payment_Method_References__c,string
salesforce_case,Collection_Point__c,string
salesforce_case,Card_Status__c,string
salesforce_case,Direct_Debit_Activation__c,string
salesforce_case,Allocated_Free_visits__c,string
salesforce_case,Excess_Accompanying_Guest_Charge__c,string
salesforce_case,Website__c,string
salesforce_case,Processing_Duration__c,string
salesforce_case,Card_Collection__c,string
salesforce_case,Partner_information_on_website__c,string
salesforce_case,CP_Card_Collection__c,string
salesforce_case,Refund_GL_Code__c,string
salesforce_case,Supernet_Transaction__c,string
salesforce_case,SuperNet_Telephony_Reg_ID__c,string
salesforce_case,Existing_Community__c,string
salesforce_case,Community_ID__c,string
salesforce_case,Community_Name__c,string
salesforce_case,SuperNet_Voice_ID__c,string
salesforce_case,Centribix_Group_ID__c,string
salesforce_case,Centribix_User_ID__c,string
salesforce_case,Installment_Device_Type__c,string
salesforce_case,IMEI__c,string
salesforce_case,Landmark__c,string
salesforce_case,Block_ID__c,string
salesforce_case,Customer_Name__c,string
salesforce_case,Product__c,string
salesforce_case,Mobile_Number__c,string
salesforce_case,Name__c,string
salesforce_case,Service_Number__c,string
salesforce_case,Description_offline__c,string
salesforce_case,Category_OfflineChat__c,string
salesforce_case,Type_chatoffline__c,string
salesforce_case,Model__c,string
salesforce_case,Console__c,string
salesforce_case,Package__c,string
salesforce_case,Ping__c,string
salesforce_case,Current_Outstanding__c,string
salesforce_case,Initial_Payment_Amount__c,string
salesforce_case,Initial_Payment_Percentage__c,string
salesforce_case,Remaining_Outstanding__c,string
salesforce_case,Eligible_Duration__c,string
salesforce_case,Monthly_Installment_Amount__c,string
salesforce_case,Deposit_Amount__c,string
salesforce_case,Test_Eligible_Duration_del__c,string
salesforce_case,Remaining__c,string
salesforce_case,Dispute_Amount_USD__c,string
salesforce_case,Latitude__c,string
salesforce_case,Longitude__c,string
salesforce_case,Dispute_Amount_MVR__c,string
salesforce_case,Enterprise_Products__c,string
salesforce_case,CP_Type__c,string
salesforce_case,Link_Decommission__c,string
salesforce_case,Links__c,string
salesforce_case,Requester_Name__c,string
salesforce_case,Requester_Staff_ID__c,string
salesforce_case,Requester_Designation__c,string
salesforce_case,Link_Decommission_NOC__c,string
salesforce_case,Staff_ID__c,string
salesforce_case,Provisioning_Staff_ID__c,string
salesforce_case,Provisioning_Designation__c,string
salesforce_case,Vendor_Related__c,string
salesforce_case,Vendor__c,string
salesforce_case,Link_Name__c,string
salesforce_case,Link_Capacity__c,string
salesforce_case,Link_License_Capacity__c,string
salesforce_case,Link_Utilization__c,string
salesforce_case,No_of_Days_from_Issue_Date__c,string
salesforce_case,Outage_Hours__c,string
salesforce_case,GB_to_be_Provided__c,string
salesforce_case,Above_or_Below_8hrs__c,string
salesforce_case,Above_or_Below_12hrs__c,string
salesforce_case,Above_or_Below_3days__c,string
salesforce_case,Above_or_Below_5days__c,string
salesforce_case,Project_Name__c,string
salesforce_case,Rectification_Date__c,string
salesforce_case,Segment__c,string
salesforce_case,Cust_Record_Type__c,string
salesforce_case,Dispute_Asset__c,string
salesforce_case,Dispute_Status__c,string
salesforce_case,Account_Manager__c,string
salesforce_case,Atoll_Island__c,string
salesforce_case,Group__c,string
salesforce_case,Industry__c,string
salesforce_case,Attachment__c,string
salesforce_case,Leakage_Detected__c,string
salesforce_case,Leakage_Recovered__c,string
salesforce_case,Leakage_Prevented__c,string
salesforce_case,Incorrect_Categorization__c,string
salesforce_case,RCA_Feedback__c,string
salesforce_case,Coupon_Code__c,string
salesforce_case,Tower__c,string
salesforce_case,Potential_Leakage__c,string
salesforce_case,Customer_Age__c,string
salesforce_case,External_Comment__c,string
salesforce_case,Reason_Category__c,string
salesforce_case,Reason_Type__c,string
salesforce_case,Registration_No__c,string
salesforce_case,Vessel_Name__c,string
salesforce_case,Assigned_Staff__c,string
salesforce_case,Contact_Status__c,string
salesforce_case,Contacted_Channel__c,string
salesforce_case,Customer_Bank_account_number__c,string
salesforce_case,GATEWAY_ORDER_ID__c,string
salesforce_case,Masked_card_number__c,string
salesforce_case,Transaction_Date_and_Timestamp__c,string
salesforce_case,Details_of_service_provide_service_not_p__c,string
salesforce_case,Refund_Method__c,string
salesforce_case,Reason_for_refund__c,string
salesforce_case,Refund_Batch_number_Letter_number__c,string
salesforce_case,Last_Activated_Addon__c,string
salesforce_case,Addon_Activated_Date__c,string
salesforce_case,Insufficient_case_information__c,string
salesforce_case,Social_Media_Agent__c,string
salesforce_case,Reason__c,string
salesforce_case,Interested_Add_On_Pack__c,string
salesforce_case,Interested_Rateplan__c,string
salesforce_case,Conversion_Status__c,string
salesforce_case,Konnect_Ticket_Created_Time__c,string
salesforce_case,Konnect_Ticket_ID__c,string
salesforce_case,Konnect_Interaction_Platform__c,string
salesforce_case,Konnect_Twitter_URL__c,string
salesforce_case,Konnect_Facebook_URL__c,string
salesforce_case,Konnect_Queuing_user__c,string
salesforce_case,Konnect_Resolved_by__c,string
salesforce_case,Konnect_Closed_by__c,string
